term,valence
fate,0.571
fated,0.582
father,0.812
fatherhood,0.885
fatherland,0.729
fatherly,0.865
fathom,0.52
faultless,0.792
fauna,0.646
favor,0.812
favorable,0.952
favorite,0.885
favoriteholiday,0.867
favoritism,0.582
fawn,0.626
fearless,0.81
feasibility,0.653
feasible,0.694
feast,0.979
feat,0.75
feather,0.677
feature,0.667
features,0.667
fecundity,0.688
fed,0.602
federal,0.53
federation,0.633
feed,0.812
feedback,0.622
feeder,0.604
feel,0.802
feelgood,0.99
feeling,0.806
feelinggood,0.94
feet,0.51
feisty,0.592
felicity,0.913
feline,0.615
fellow,0.745
fellowship,0.9
felt,0.643
female,0.857
feminine,0.802
femininity,0.75
feminism,0.541
feminist,0.51
femme,0.551
fence,0.5
fencing,0.542
fend,0.646
fennel,0.573
fern,0.602
ferry,0.604
ferryboat,0.594
fertile,0.888
fertility,0.885
fertilize,0.708
fervent,0.646
fervor,0.573
fest,0.704
festival,0.87
festive,0.854
fete,0.58
fiancee,0.959
fiat,0.52
fiber,0.719
fiddle,0.571
fiddler,0.615
fidelity,0.765
field,0.64
field hockey,0.602
fielder,0.583
fiesta,0.927
fiesty,0.571
fifty,0.571
fig,0.573
fight,0.531
fighter,0.637
figment,0.552
figure,0.688
figurine,0.76
filament,0.51
filamentous,0.531
filet,0.615
filigree,0.576
filing,0.62
fill,0.729
filler,0.531
fillet,0.745
filling,0.51
film,0.823
filmmaker,0.704
filmy,0.583
finalist,0.833
finality,0.615
finalize,0.556
finally,0.583
finance,0.753
financial,0.667
financier,0.602
find,0.774
finding,0.796
fine,0.823
finery,0.562
finesse,0.74
fingerprint,0.583
fingerscrossed,0.573
finished,0.51
fir,0.521
firefighter,0.637
firefly,0.622
firehouse,0.594
firelight,0.677
fireman,0.583
fireplace,0.667
fireproof,0.684
fireside,0.684
firewood,0.52
firework,0.786
fireworks,0.735
firm,0.635
firmament,0.75
firmly,0.786
firmness,0.823
first,0.625
firstborn,0.786
fiscal,0.5
fish,0.51
fisherman,0.656
fishery,0.574
fishing,0.677
fishing boat,0.521
fistful,0.5
fit,0.604
fitness,0.875
fits,0.571
fitted,0.507
fitting,0.612
fittings,0.531
five,0.51
fix,0.76
fixable,0.724
fixation,0.562
fixed,0.684
fixer,0.633
fixture,0.663
fixtures,0.643
fjord,0.51
flag,0.592
flagging,0.521
flagpole,0.5
flagship,0.592
flagstaff,0.52
flair,0.775
flamboyant,0.615
flamingo,0.667
flan,0.604
flange,0.5
flare,0.558
flares,0.58
flaring,0.625
flash,0.571
flashing,0.604
flashlight,0.653
flashy,0.704
flatter,0.521
flattered,0.865
flattering,0.755
flavor,0.885
flawless,0.729
fleece,0.561
fleet,0.547
flesh,0.604
fleshy,0.5
flex,0.604
flexibility,0.867
flexible,0.719
flexin,0.552
flick,0.688
flicker,0.635
flier,0.541
flight,0.646
flint,0.521
flipper,0.677
flipping,0.553
flirt,0.792
flirtation,0.653
flirting,0.59
flirty,0.714
float,0.688
flock,0.5
flooring,0.562
floppy,0.549
flora,0.833
floral,0.833
florist,0.771
floss,0.5
flotation,0.51
flounder,0.711
flour,0.53
flourish,0.939
flow,0.696
flower,0.802
flowering,0.906
flowers,0.875
flowery,0.792
flows,0.571
fluency,0.776
fluent,0.76
fluff,0.52
fluffy,0.781
fluid,0.673
fluidity,0.729
fluorescence,0.667
fluorescent,0.602
flute,0.635
fluvial,0.571
fly,0.76
flyboy,0.541
flying,0.877
flywheel,0.667
foal,0.542
foam,0.698
foaming,0.643
foamy,0.663
focus,0.69
fog,0.51
foliage,0.62
folio,0.513
folk,0.663
folklore,0.755
follow,0.667
follower,0.646
fond,0.885
fondle,0.823
fondling,0.794
fondness,0.885
fondue,0.656
font,0.615
food,0.888
foodie,0.781
foolhardy,0.541
footage,0.625
football,0.755
footbridge,0.582
foothold,0.673
footing,0.76
footlocker,0.5
footloose,0.549
footpath,0.677
footprint,0.592
footwear,0.643
forage,0.583
forbearance,0.52
force,0.612
forceful,0.533
forces,0.551
ford,0.521
fore,0.667
forecast,0.783
forecaster,0.635
forefathers,0.69
forefinger,0.51
forefront,0.573
foreground,0.708
foreign,0.573
foreigner,0.5
foremost,0.735
foreplay,0.724
forerunner,0.694
foresee,0.583
foreseen,0.566
foresight,0.68
forest,0.729
forestall,0.54
forethought,0.765
forevermore,0.843
foreword,0.59
forge,0.52
forgive,0.781
forgiven,0.75
forgiveness,0.667
forgiving,0.885
form,0.51
formal,0.735
formalism,0.838
formality,0.594
format,0.562
formation,0.615
formative,0.688
formed,0.656
formidable,0.708
forming,0.729
formula,0.521
formulary,0.531
formulate,0.851
fort,0.78
forte,0.829
forthcoming,0.66
forthright,0.663
forthwith,0.688
fortification,0.652
fortify,0.745
fortitude,0.823
fortnight,0.77
fortnightly,0.592
fortress,0.816
fortuitous,0.625
fortunate,0.927
fortune,0.926
fortunes,0.824
forum,0.556
forward,0.873
forwarding,0.583
fossils,0.52
found,0.833
foundation,0.771
founder,0.76
founding,0.698
foundry,0.531
fountain,0.704
four,0.552
fourfold,0.53
foursome,0.615
fourteen,0.552
fourth,0.559
fowl,0.51
foxtrot,0.562
foxy,0.552
foyer,0.552
fragrance,0.847
fragrant,0.615
franc,0.71
franchise,0.663
frank,0.625
frankness,0.571
frat,0.714
fraternal,0.844
fraternity,0.892
freckle,0.542
free,0.896
freebie,0.796
freedom,0.969
freehold,0.635
freelance,0.833
freelancer,0.614
freely,0.875
freeman,0.823
freestyle,0.765
freeway,0.531
french horn,0.573
frenzy,0.61
frequency,0.561
frequent,0.594
frequently,0.596
fresco,0.827
fresh,0.908
freshair,0.688
freshen,0.806
freshener,0.704
freshman,0.677
freshness,0.917
freshstart,0.765
freshwater,0.854
friar,0.51
friday,0.624
fridge,0.571
friend,0.906
friendliness,0.981
friendly,0.917
friends,0.929
friendship,0.958
fringe,0.52
frisbee,0.706
frisky,0.7
frock,0.632
froggy,0.5
frolic,0.781
front,0.677
frontage,0.51
fronting,0.5
frosted,0.748
frosting,0.823
froth,0.612
frothy,0.774
fruit,0.896
fruit punch,0.837
fruitcake,0.865
fruitful,0.73
fruition,0.776
fruits,0.865
fruity,0.683
fry,0.52
fryer,0.573
fuchsia,0.633
fudge,0.853
fulfill,0.784
fulfilled,0.896
fulfilling,0.823
fulfillment,0.833
full,0.602
fullback,0.5
fullness,0.868
fully,0.763
fulsome,0.51
fun,0.918
function,0.694
functional,0.75
fund,0.521
fundamental,0.708
fundamentally,0.653
funday,0.743
funding,0.729
fundraiser,0.61
fundraising,0.76
funds,0.633
funky,0.531
funny,0.918
fur,0.583
furlough,0.531
furnish,0.755
furnishings,0.592
furniture,0.688
furor,0.5
furtherance,0.698
fusion,0.635
future,0.888
fuzz,0.521
gab,0.5
gaby,0.51
gad,0.51
gadget,0.635
gage,0.552
gaggle,0.542
gaiety,0.854
gain,0.917
gainful,0.73
gaining,0.837
gait,0.51
gal,0.5
gala,0.755
galactic,0.656
galaxy,0.75
gallant,0.908
gallantry,0.906
gallery,0.659
galley,0.52
gallon,0.531
gallop,0.5
galloping,0.643
galore,0.823
gamble,0.568
game,0.735
gameday,0.729
gametime,0.735
gaming,0.896
gammon,0.51
gander,0.51
garage,0.531
garb,0.562
garden,0.77
gardener,0.673
gardening,0.854
gardens,0.775
garment,0.531
garnet,0.643
garnish,0.765
garrison,0.51
garter,0.521
gasket,0.541
gastronomy,0.812
gate,0.51
gatekeeper,0.51
gateway,0.592
gather,0.648
gatherer,0.51
gathering,0.854
gatorade,0.719
gaudy,0.653
gavel,0.52
gaze,0.633
gazelle,0.669
gazetteer,0.531
gazillion,0.531
gazing,0.677
gear,0.51
geisha,0.521
gel,0.524
gelatin,0.562
gem,0.917
gemini,0.531
gender,0.688
general,0.834
generality,0.604
generalization,0.542
generally,0.562
generate,0.771
generation,0.903
generative,0.724
generator,0.704
generic,0.52
generosity,0.958
generous,1.0
genesis,0.612
genetic,0.562
genetics,0.552
genial,0.867
genie,0.76
genius,0.878
genome,0.507
genre,0.52
gent,0.573
genteel,0.917
gentile,0.833
gentle,0.847
gentleman,0.823
gentlemanly,0.918
gentleness,0.927
gently,0.917
gentry,0.56
genuine,0.875
genus,0.582
geographic,0.698
geographical,0.5
geography,0.719
geological,0.667
geologist,0.594
geology,0.635
geometric,0.542
geranium,0.635
germane,0.57
germinate,0.604
gestation,0.561
gesture,0.667
get,0.74
getaway,0.5
getup,0.541
giant,0.646
gift,0.88
gifted,0.902
gifts,0.865
gig,0.816
gigantic,0.75
giggle,0.719
giggles,0.865
giggling,0.886
gilded,0.719
gill,0.521
gilt,0.583
gingerbread,0.597
gingerly,0.602
ginseng,0.677
giraffe,0.561
girdle,0.5
girl,0.74
girlfriend,0.712
girlie,0.604
girlish,0.677
girly,0.595
girth,0.52
gist,0.622
give,0.75
giveaway,0.865
giver,0.688
giving,0.795
gizmo,0.51
glacier,0.573
glad,0.938
glade,0.6
gladiator,0.5
gladness,0.896
glamorous,0.918
glamour,0.823
glance,0.625
glare,0.698
glaring,0.694
glasses,0.531
glassware,0.633
glaze,0.65
glazed,0.622
gleam,0.781
gleaming,0.827
glee,0.698
gleeful,0.906
glen,0.573
glide,0.561
glider,0.618
glimmer,0.615
glimpse,0.646
glint,0.677
glisten,0.765
glitter,0.814
glittering,0.86
gloat,0.5
global,0.583
globe,0.76
globular,0.542
glorification,0.821
glorified,0.865
glorify,0.94
glorious,0.959
glory,0.948
gloss,0.757
glossary,0.57
glossy,0.802
glove,0.5
gloves,0.542
glow,0.918
glowing,0.94
glucose,0.562
gluttony,0.5
go,0.51
goal,0.83
goalie,0.573
goals,0.719
goblet,0.786
god,0.758
godbless,0.823
goddess,0.865
godfather,0.694
godisgood,0.74
godisgreat,0.712
godlike,0.854
godly,0.747
godmother,0.733
godsend,0.865
godson,0.68
goggle,0.525
goggles,0.667
gold,0.939
golden,0.802
goldfish,0.786
golf,0.573
golfer,0.602
golfing,0.625
gondola,0.52
good,0.938
goodday,0.961
goodfeeling,0.939
goodhealth,0.938
goodie,0.854
goodies,0.95
goodlife,0.917
goodly,0.701
goodmood,0.823
goodmorning,0.922
goodmusic,0.756
goodness,0.969
goodnews,0.961
goods,0.888
goodtimes,0.91
goodvibes,0.827
goodwill,0.938
goody,0.786
goofball,0.561
gooood,0.857
gorgeous,0.92
gorilla,0.565
gospel,0.74
goulash,0.582
gourmet,0.911
govern,0.573
governing,0.635
governmental,0.521
governor,0.5
gown,0.625
grace,0.906
graceful,0.906
gracias,0.833
gracious,0.918
graciously,0.948
grad,0.806
grade,0.698
graded,0.562
grader,0.583
grades,0.521
gradschool,0.616
gradual,0.571
gradually,0.583
graduate,0.898
graduation,0.88
graffiti,0.582
grail,0.573
gram,0.578
grammar,0.56
grand,0.898
grandchild,0.781
grandchildren,0.796
granddad,0.74
granddaddy,0.708
granddaughter,0.823
grandeur,0.885
grandfather,0.827
grandiose,0.9
grandma,0.796
grandmother,0.792
grandpa,0.806
grandson,0.778
grandstand,0.5
grange,0.531
granite,0.572
granny,0.796
granola,0.625
grant,0.719
granted,0.882
grantee,0.865
grantor,0.542
grape,0.729
grape juice,0.696
grapefruit,0.521
grapes,0.784
grapevine,0.541
graph,0.51
graphic,0.602
graphics,0.542
grasp,0.56
grass,0.604
grasshopper,0.5
grassy,0.647
grateful,0.958
gratification,0.867
gratified,0.781
gratify,0.837
gratifying,0.857
grating,0.512
gratis,0.796
gratitude,0.885
gratuitous,0.735
gratuity,0.865
gravitation,0.698
gravitational,0.528
gravity,0.51
gravy,0.608
graze,0.56
great,0.958
great anticipation,0.786
great aunt,0.896
great grandfather,0.729
great grandma,0.771
great grandmother,0.802
great grandpa,0.857
great surprise,0.939
great trust,0.939
great uncle,0.729
greatday,0.823
greater,0.755
greatest,0.847
greatfriends,0.908
greatful,0.923
greatly,0.75
greatly positive,0.967
greatness,0.99
greatnight,0.918
green,0.63
green pepper,0.5
greenhouse,0.719
greenish,0.574
greenwood,0.531
greet,0.885
greeted,0.781
greeting,0.854
gregarious,0.551
greyhound,0.52
grid,0.562
gridiron,0.667
grill,0.755
grilled,0.702
grin,0.885
grindstone,0.541
gringo,0.54
grip,0.52
grocer,0.625
groceries,0.74
grocery,0.687
groom,0.698
groove,0.552
groovy,0.615
grotto,0.51
grounded,0.531
grounding,0.521
grounds,0.667
groundwork,0.5
group,0.573
groupie,0.521
grouping,0.745
grove,0.604
grow,0.914
grownup,0.735
growth,0.917
grub,0.602
guacamole,0.684
guarantee,0.949
guaranty,0.646
guard,0.592
guarded,0.758
guardhouse,0.51
guardian,0.656
guardianship,0.592
gubernatorial,0.552
guess,0.64
guesser,0.542
guest,0.719
guesthouse,0.729
guidance,0.729
guide,0.688
guidebook,0.677
guiding,0.667
guild,0.58
guinea,0.521
guise,0.531
guitar,0.844
guitarist,0.827
gulf,0.52
gull,0.594
gulp,0.551
gum,0.573
gumbo,0.5
gummy,0.521
guru,0.573
gush,0.51
gusto,0.692
gusty,0.687
guts,0.592
gutsy,0.635
guy,0.583
gym,0.635
gymnasium,0.667
gymnast,0.67
gymnastic,0.81
gymnastics,0.745
gynecologist,0.552
gyroscope,0.5
habit,0.625
habitat,0.633
habitation,0.781
habitual,0.527
habitually,0.6
hacienda,0.688
haiku,0.583
hair,0.582
haircut,0.677
hairdo,0.552
hairdresser,0.708
hairdryer,0.642
hairspray,0.549
hairstyle,0.771
hairy,0.542
half,0.5
half dollar,0.573
halfway,0.51
hall,0.51
hallelujah,0.77
hallmark,0.646
hallowed,0.74
hallway,0.573
ham,0.673
hamburger,0.809
hamlet,0.573
hammock,0.673
hamster,0.52
hand,0.542
handbag,0.562
handball,0.561
handbook,0.6
handful,0.521
handheld,0.646
handicraft,0.724
handiwork,0.753
handkerchief,0.51
handle,0.698
handmade,0.776
handout,0.56
handprint,0.635
handshake,0.816
handsome,0.89
handwriting,0.615
handy,0.741
handyman,0.66
hangout,0.573
hank,0.51
hankering,0.604
hap,0.503
happen,0.677
happening,0.646
happier,0.99
happiest,0.99
happily,1.0
happiness,0.96
happy,1.0
happydance,0.857
happyday,0.929
happyheart,0.949
happyholidays,0.927
happynewyear,0.969
happyplace,0.938
happytweet,0.847
happyvalentinesday,0.929
harbor,0.594
hardball,0.542
hardware,0.594
hardworking,0.719
hardy,0.571
hare,0.62
harem,0.521
hark,0.571
harmless,0.625
harmonica,0.847
harmonics,0.865
harmonious,0.938
harmoniously,0.969
harmonize,0.939
harmony,0.949
harness,0.57
harp,0.618
harpsichord,0.541
harry,0.52
hart,0.643
harvest,0.781
hasten,0.571
hat,0.604
haul,0.551
haulage,0.561
have,0.757
haven,0.684
hawk,0.583
hawking,0.521
haye,0.615
hayride,0.561
haystack,0.552
head,0.53
headband,0.67
headdress,0.594
header,0.56
headgear,0.542
heading,0.551
headland,0.574
headlight,0.592
headline,0.63
headliner,0.5
headmaster,0.604
headphones,0.6
headquarter,0.615
headquarters,0.615
headset,0.602
headway,0.823
heal,0.765
healer,0.863
healing,0.75
health,0.935
healthcare,0.78
healthful,0.93
healthy,0.938
heap,0.582
hear,0.76
hearer,0.656
hearing,0.669
heart,0.827
heartbeat,0.75
hearted,0.823
heartfelt,0.904
hearth,0.76
heartily,0.927
heartland,0.812
hearts,0.948
hearty,0.76
heat,0.534
heater,0.5
heath,0.802
heather,0.5
heating,0.647
heave,0.716
heaven,0.896
heavenly,0.844
heavens,0.806
heavily,0.542
hectares,0.57
hedge,0.604
hedonism,0.51
heed,0.75
heels,0.5
heft,0.503
hefty,0.55
heheh,0.625
height,0.677
heighten,0.755
heightened,0.592
heir,0.84
heiress,0.827
heirloom,0.684
heirs,0.796
helicopter,0.714
helipad,0.78
heliport,0.594
helix,0.521
helm,0.511
helmet,0.573
help,0.673
helper,0.704
helpful,0.816
hem,0.562
hemi,0.51
hemisphere,0.531
hemispheric,0.562
henceforth,0.527
henhouse,0.5
herald,0.643
heraldry,0.55
herb,0.643
herbaceous,0.56
herbal,0.592
herbarium,0.602
herbs,0.62
herd,0.592
hereditary,0.531
heredity,0.704
hereunto,0.5
heritage,0.842
hero,0.94
heroic,0.89
heroics,0.865
heroine,0.729
heroism,0.844
herring,0.531
hetero,0.589
heterosexual,0.561
hexagon,0.542
heyday,0.646
hibernate,0.5
hickory,0.52
hierarchical,0.521
hierarchy,0.583
high,0.684
high heels,0.646
highball,0.656
higher,0.866
highest,0.771
highland,0.615
highlands,0.735
highlight,0.844
highness,0.74
hight,0.667
highway,0.64
hike,0.615
hiker,0.694
hiking,0.82
hiking boot,0.657
hilarious,0.75
hilarity,0.745
hill,0.615
hillside,0.625
hilltop,0.688
hilly,0.643
hint,0.602
hinterland,0.53
hip hop,0.74
hippie,0.551
hippopotamus,0.541
hire,0.688
hissing,0.5
historian,0.688
historic,0.816
historical,0.653
historiography,0.562
history,0.729
hitch,0.512
hitchhiker,0.594
hoard,0.506
hob,0.633
hobby,0.827
hock,0.513
hockey,0.565
hohoho,0.677
hoist,0.521
hokey,0.604
holder,0.592
holding,0.6
hole,0.531
holiday,0.948
holidays,0.939
holidayseason,0.875
holiness,0.86
holistic,0.67
holly,0.51
hologram,0.615
holographic,0.51
holster,0.561
holy,0.812
holyspirit,0.74
homage,0.833
hombre,0.656
hombres,0.51
home,0.854
homeboy,0.602
homecoming,0.76
homeland,0.663
homely,0.745
homemade,0.869
homeowner,0.635
homeroom,0.604
homestead,0.865
homesweethome,0.796
hometown,0.858
homeward,0.833
homey,0.769
homily,0.621
homing,0.551
homo,0.531
homogeneity,0.715
homogeneous,0.552
homologue,0.542
homology,0.571
hone,0.688
honest,0.927
honesty,0.938
honey,0.92
honeycomb,0.541
honeymoon,0.979
honeysuckle,0.597
honk,0.549
honor,0.896
honorable,0.963
honorarium,0.796
honorary,0.885
honored,0.938
hooked,0.61
hookup,0.625
hoop,0.635
hoopla,0.542
hooray,0.61
hope,0.927
hopeful,0.947
hopes,0.917
hoping,0.684
horizon,0.729
horizontal,0.573
horizontally,0.5
hormonal,0.5
horoscope,0.5
horse,0.635
horseback,0.688
horsepower,0.594
horseshoe,0.673
horsey,0.602
horticultural,0.594
horticulture,0.7
hosannah,0.679
hosiery,0.52
hospitable,0.791
hospitality,0.865
host,0.693
hostess,0.792
hotbed,0.51
hotdog,0.72
hotel,0.74
hotline,0.592
hotshot,0.5
hotyoga,0.683
hour,0.552
hourglass,0.542
house,0.587
houseboat,0.604
housebroken,0.518
houseguest,0.53
household,0.781
householder,0.816
housekeeper,0.694
housekeeping,0.604
housewarming,0.857
housewife,0.656
housing,0.776
hover,0.51
hovercraft,0.541
hoy,0.583
hubby,0.548
huckleberry,0.6
huddle,0.604
hue,0.507
hug,0.908
huge,0.573
hugger,0.52
huggy,0.854
hugs,0.98
hull,0.542
human,0.767
humane,0.8
humanitarian,0.786
humanities,0.729
humanity,0.75
humankind,0.885
humanoid,0.521
humanrights,0.792
humble,0.867
humbly,0.771
humility,0.74
hummer,0.51
hummingbird,0.75
humor,0.89
humored,0.854
humorist,0.958
humorous,0.906
hunch,0.561
hundred,0.604
hurrah,0.802
husband,0.771
husbandry,0.643
husky,0.63
hut,0.633
hybrid,0.5
hydrant,0.57
hydrate,0.61
hydraulic,0.522
hydraulics,0.5
hydrodynamics,0.552
hydrology,0.5
hydroponics,0.5
hygiene,0.781
hygienic,0.719
hygienist,0.698
hymn,0.735
hype,0.51
hyped,0.708
hyper,0.542
hyperactive,0.5
hyperspace,0.51
hyphen,0.552
hypnotic,0.571
hypothalamus,0.593
hypothesis,0.552
ice tea,0.771
icebox,0.56
icebreaker,0.571
iced,0.564
icing,0.688
icon,0.549
iconic,0.583
iconography,0.602
icy,0.684
idea,0.75
ideal,0.802
idealism,0.635
idealist,0.816
idealistic,0.812
identical,0.635
identically,0.667
identification,0.714
identify,0.635
identity,0.663
ideology,0.573
idiom,0.52
idiomatic,0.531
idol,0.684
idolizing,0.676
idyllic,0.571
igloo,0.569
iguana,0.521
illuminate,0.905
illuminating,0.949
illumination,0.76
illuminator,0.77
illusion,0.562
illustrate,0.75
illustration,0.74
illustrative,0.771
illustrious,0.673
ilovechristmas,0.885
iloveher,0.75
image,0.653
imagery,0.653
imaginable,0.613
imaginary,0.56
imagination,0.802
imaginative,0.78
imagine,0.759
imagined,0.656
imaging,0.724
imagining,0.765
imam,0.527
immaculate,0.698
immeasurable,0.51
immeasurably,0.51
immediacy,0.635
immediate,0.656
immediately,0.552
immense,0.755
immerse,0.51
immersion,0.51
immortal,0.812
immortality,0.688
immune,0.629
immunity,0.633
immunization,0.667
impart,0.521
impartial,0.531
impartiality,0.622
impassioned,0.74
impeccable,0.833
impelled,0.604
impenetrable,0.531
imperative,0.625
imperial,0.669
impermeable,0.51
impersonate,0.51
impervious,0.582
impetuous,0.602
impetus,0.521
implacable,0.569
implement,0.72
imply,0.542
import,0.615
importance,0.75
important,0.827
importation,0.625
impose,0.503
impregnate,0.51
impress,0.816
impressed,0.806
impression,0.684
impressionable,0.827
impressive,0.781
imprint,0.615
impromptu,0.541
improve,0.833
improved,0.919
improvement,0.786
improves,0.929
improving,0.911
improvisation,0.631
improvise,0.646
improvised,0.61
impulse,0.53
inaugural,0.684
inaugurate,0.781
inauguration,0.847
inborn,0.59
inbound,0.531
incarnate,0.552
incase,0.58
incense,0.698
incentive,0.812
inception,0.604
include,0.729
included,0.76
including,0.7
inclusion,0.774
inclusive,0.604
incognito,0.61
income,0.75
incoming,0.66
incomparable,0.625
inconspicuous,0.604
incorporate,0.745
incorporation,0.573
increase,0.81
increased,0.684
incredible,0.857
increment,0.684
incubator,0.51
incursion,0.552
indemnification,0.521
independence,0.896
independent,0.885
indestructible,0.772
indicate,0.594
indicating,0.745
indication,0.719
indicative,0.51
indicator,0.573
indigenous,0.5
indigo,0.514
indispensable,0.71
individual,0.627
individuality,0.612
indivisible,0.646
indoor,0.615
inducement,0.647
indulge,0.833
indulgent,0.56
industrialist,0.562
industrious,0.72
industry,0.65
ineffable,0.551
inexhaustible,0.602
inexpensive,0.694
infallibility,0.583
infallible,0.776
infancy,0.75
infant,0.802
infantile,0.604
infantry,0.531
infatuated,0.729
infatuation,0.844
infield,0.51
infinite,0.724
infinitely,0.688
infinity,0.516
infirmary,0.5
inflatable,0.51
influence,0.622
influential,0.899
influx,0.622
info,0.75
inform,0.723
informant,0.604
information,0.765
informative,0.812
informed,0.543
informer,0.521
infrastructure,0.604
infusion,0.583
ingenious,0.76
ingenuity,0.708
ingest,0.51
ingot,0.688
ingrained,0.531
ingredient,0.792
ingress,0.601
inhabit,0.656
inhabitant,0.604
inhabited,0.667
inhalation,0.51
inherent,0.562
inherit,0.745
inheritance,0.9
inimaginable,0.542
inimitable,0.571
initial,0.583
initiate,0.719
initiated,0.76
initiation,0.698
initiative,0.833
inland,0.51
inlet,0.646
inn,0.66
inner,0.551
innermost,0.583
innerpeace,0.714
inning,0.602
innings,0.573
innkeeper,0.578
innocence,0.802
innocent,0.729
innocently,0.776
innocuous,0.51
innovate,0.898
innovation,0.949
innovative,0.88
innumerable,0.667
input,0.643
inquire,0.583
inquirer,0.573
inquiry,0.541
inscription,0.592
insemination,0.542
inseparable,0.7
insertion,0.521
inside,0.612
insider,0.625
insight,0.613
insightful,0.664
insignia,0.665
insist,0.635
insistent,0.552
inspiration,0.938
inspirational,0.927
inspire,0.918
inspired,0.967
install,0.63
installation,0.656
installment,0.619
instance,0.547
instant,0.766
instantaneous,0.75
instantaneously,0.656
instill,0.562
instinct,0.771
instinctive,0.752
institute,0.604
institution,0.58
instruct,0.729
instructed,0.74
instruction,0.656
instructional,0.698
instructions,0.582
instructive,0.583
instructor,0.771
instrument,0.562
instrumental,0.74
instrumentalist,0.656
instrumentality,0.637
insular,0.531
insurance,0.714
insure,0.7
insurmountable,0.62
intact,0.716
intake,0.604
intangible,0.525
integer,0.573
integral,0.59
integrate,0.729
integration,0.771
integrity,0.865
intellect,0.844
intellectual,0.906
intelligence,0.833
intelligent,0.917
intelligibility,0.74
intelligible,0.635
intend,0.562
intending,0.51
intense,0.592
intensely,0.694
intensify,0.604
intensity,0.622
intensive,0.57
intent,0.55
intention,0.531
intentional,0.65
inter,0.51
interact,0.822
interaction,0.646
interactive,0.727
intercede,0.582
intercession,0.503
interchange,0.615
interchangeable,0.615
intercom,0.623
intercourse,0.551
interdependence,0.608
interest,0.78
interested,0.75
interesting,0.927
interface,0.643
interferometer,0.51
intergalactic,0.562
interim,0.604
interior,0.618
internally,0.615
international,0.8
internet,0.76
internship,0.59
interpret,0.646
interpretation,0.677
interpreter,0.708
interpretive,0.531
interrelated,0.615
intersect,0.521
interstate,0.52
interstellar,0.708
interval,0.51
intervene,0.52
interview,0.573
interviewer,0.552
interworking,0.552
intimacy,0.857
intimate,0.724
intimately,0.806
intonation,0.615
intrepid,0.753
intricate,0.559
intro,0.51
introduce,0.592
introduction,0.612
introductory,0.635
introspection,0.603
introspective,0.552
intuition,0.857
intuitive,0.771
intuitively,0.67
invaluable,0.74
invent,0.719
invention,0.714
inventive,0.78
inventor,0.781
inventory,0.594
inversion,0.602
invert,0.51
invest,0.65
investigate,0.64
investigation,0.531
investigative,0.562
investigator,0.615
investment,0.72
investor,0.794
invigorate,0.821
invincible,0.867
invitation,0.802
invite,0.745
inviting,0.938
invoke,0.583
involve,0.694
involvement,0.76
invulnerable,0.552
iridescent,0.602
iris,0.708
ironclad,0.561
irons,0.531
irrepressible,0.512
irresistible,0.823
island,0.745
isle,0.667
islet,0.612
item,0.594
items,0.542
iteration,0.531
itinerary,0.551
ivory,0.625
jacket,0.656
jackpot,0.95
jackrabbit,0.625
jade,0.604
jaguar,0.559
jam,0.51
jamboree,0.602
janitor,0.51
japan,0.667
jasmine,0.765
jaunt,0.808
jaw,0.5
jay,0.531
jazz,0.677
jazzy,0.725
jean,0.602
jeans,0.622
jeep,0.602
jelly,0.651
jellybean,0.592
jellyfish,0.531
jenny,0.542
jersey,0.594
jest,0.52
jesus,0.8
jet,0.612
jetty,0.602
jewel,0.827
jeweler,0.76
jewelry,0.823
jiff,0.576
jig,0.531
jiggle,0.592
jigsaw,0.594
jimmy,0.579
jingle,0.635
jive,0.561
job,0.694
jobinterview,0.684
jock,0.592
jockey,0.562
jog,0.51
john,0.562
join,0.729
joined,0.667
joining,0.755
joint,0.615
jointly,0.708
joke,0.704
joker,0.771
joking,0.776
jolly,0.959
journal,0.688
journalism,0.622
journalist,0.542
journalistic,0.696
journey,0.91
journeyman,0.765
joust,0.52
jovial,0.823
joy,0.98
joyful,0.99
joyous,0.958
joyride,0.694
joys,0.981
jubilant,0.844
jubilee,0.916
judge,0.51
judicious,0.63
judo,0.5
jug,0.52
juggle,0.594
juggler,0.633
juggling,0.562
juice,0.776
juicer,0.552
juicy,0.823
juju,0.541
juke,0.5
jukebox,0.699
jumbo,0.68
jump,0.625
jump rope,0.656
jumper,0.615
jumpsuit,0.562
jungle,0.5
junior,0.635
juniper,0.583
juridical,0.52
juror,0.582
justice,0.76
justifiable,0.786
justification,0.622
justify,0.612
justthebeginning,0.573
jute,0.551
juvenile,0.678
kaleidoscope,0.615
kangaroo,0.716
kanji,0.51
karaoke,0.763
karate,0.562
karma,0.5
kayak,0.592
kazoo,0.503
kebab,0.531
keen,0.823
keep,0.714
keeper,0.612
keeping,0.592
keepsake,0.74
keg,0.551
kerchief,0.52
kernel,0.542
ketchup,0.653
key,0.615
keyboard,0.573
keynote,0.63
keypad,0.604
keystone,0.573
keyword,0.602
khaki,0.594
kibble,0.51
kickoff,0.583
kid,0.76
kidder,0.708
kidding,0.622
kiddo,0.674
kiddos,0.5
kids,0.837
kilogram,0.51
kimono,0.643
kin,0.543
kind,0.918
kindergarten,0.833
kindling,0.52
kindness,0.938
kindred,0.76
kinematics,0.594
kinetic,0.582
king,0.677
